ngram,count
"['PRINT', '""{clr}{down}{down}{down}{red}du stehst vor dem     {down}{down}{down}spukhaus""']",1
"['PRINT', '""{down}{down}{down}es ist 14.00 uhr""']",1
"['PRINT', '""{down}suche jane""']",1
"['FOR', '0']",3
"['MID$', ')']",2
"['IF', 'MID$']",3
"['THEN', 'a$']",18
"['PRINT', 'TAB(']",19
"['TO', '8']",10
"['GOTO', '4010']",3
"['IF', 'j']",11
"['THEN', '4100']",2
"['GET', 'g$']",6
"['IF', 'g$']",7
"['WAIT', 'THEN']",2
"['THEN', '6000']",1
"['PRINT', '""cassette zurueckspulen']",1
"['PRINT', '""bis zum anfang des""']",1
"['THEN', 'n2']",5
"['IF', 'n2']",1
"['IF', 'n1']",2
"['THEN', 'n1']",2
"['INPUT', '""filename""']",2
"['PRINT', '""assembler-files!']",1
"['PRINT', '""{down}dann {rvs_on} p {rvs_off} druecken!']",1
"['DATA', 'ap']",1
"['WAIT', '198']",17
"['PRINT', '""ok""']",1
"['OPEN', '1']",4
"['TO', '9']",10
"['IF', 'd']",10
"['CLOSE', ':']",4
"['LOAD', ':']",3
"['CLR', 'THEN']",4
"['CHR$', '1']",1
"['THEN', '""c""']",1
"['WAIT', ':']",12
"['TO', 'n1']",3
"['THEN', 'bf']",2
"['GOTO', '620']",4
"['RESTORE', ':']",6
"['GOTO', '""l""']",1
"['STEP', '1']",4
"['TO', 'n']",11
"['GOTO', 'b']",1
"['THEN', 'b$']",4
"['THEN', 'n']",2
"['STEP', 'c']",1
"['RIGHT$', '=']",1
"['THEN', 'c']",10
"['THEN', '29']",6
"['THEN', '148']",2
"['THEN', 's']",9
"['LEFT$', '""{rvs_on}""']",1
"['LEFT$', 'c$']",1
"['PEEK', 'IF']",114
"['MID$', '""{rvs_off}""']",1
"['SYS', ':']",14
"['TO', 'n2']",1
"['TO', '515']",1
"['IF', 'bf']",1
"['INPUT', ':']",9
"['IF', 'j$']",4
"['TO', 'FOR']",2
"['FOR', 'p']",3
"['TO', 'p']",1
"['TO', '175']",2
"['STEP', '3']",2
"['POKE', 'p']",68
"['NEXT', 'p']",2
"['PRINT', 'pc']",1
"['TAB(', '7']",3
"['TAB(', '12']",4
"['TAB(', '17']",6
"['IF', '(']",34
"['THEN', '1020']",1
"['CLOSE', '1']",3
"['GOTO', '20000']",2
"['IF', 'oi']",6
"['THEN', '1100']",1
"['POKE', 'pc']",10
"['POKE', 'IF']",2
"['GOTO', '4140']",1
"['GOTO', '4135']",1
"['IF', 'LEN']",3
"['THEN', '4130']",1
"['THEN', 'i']",5
"['GOSUB', '5000']",9
"['PRINT', '""opcode error in""']",1
"['THEN', 'l']",8
"['TO', '(']",1
"['MID$', 'LEN']",1
"['IF', 'NOT']",1
"['GOSUB', '50000']",2
"['IF', 'di']",1
"['THEN', 'f$']",1
"['PRINT', '""cassette / disk {rvs_on}c{rvs_off}/{rvs_on}d{rvs_off}""']",1
"['THEN', '200']",7
"['NEXT', 'l$']",1
"['READ', 'ai$']",1
"['PRINT', '""{clr}{down}homecomputer-assembler{down}']",1
"['READ', 'o$']",1
"['READ', 'a$']",8
"['DIM', '(']",1
"['DIM', 'ad%']",1
"['READ', 'ad%']",1
"['TO', '55']",2
"['READ', '(']",1
"['THEN', '1150']",1
"['MID$', 'IF']",2
"['INPUT#', ',']",1
"['IF', 'ai']",4
"['THEN', '1070']",2
"['THEN', 'o']",5
"['PRINT', 'RIGHT$']",3
"['MID$', 'l$']",1
"['THEN', '510']",1
"['POKE', '""editor ?""']",1
"['MID$', '=']",2
"['LEN', 'TO']",2
"['THEN', '36']",2
"['VAL', 'AND']",1
"['THEN', '48']",3
"['ASC', 'OR']",1
"['THEN', '37']",1
"['IF', 'e']",4
"['THEN', '19990']",2
"['IF', 'l']",7
"['THEN', '4135']",1
"['FOR', 'ai']",1
"['GOTO', '19990']",1
"['IF', 'ASC']",2
"['GOSUB', '6000']",4
"['GOSUB', '5040']",2
"['MID$', ':']",1
"['LEFT$', ',']",2
"['GOSUB', ')']",3
"['PEEK', 'pc']",1
"['?', 'cli']",1
"['DATA', 'inc']",1
"['STEP', '/']",1
"['GOTO', '1220']",1
"['THEN', '128']",2
"['NEXT', 'RETURN']",1
"['READ', '=']",1
"['THEN', 'CLR']",1
