ngram,count
"['NEXT', 'co', ',']",1
"['THEN', 'll', '*']",1
"['+', 'tl', '<>']",1
"['=', 'r', 'IF']",5
"[',', 'd', ',']",5
"['IF', 'x', '=']",18
"['THEN', 'se', '=']",1
"['THEN', 'ks', '=']",1
"[':', 'kk', '=']",1
"['IF', 'ge', '=']",3
"['IF', 'hp', '<>']",1
"['IF', 'ke', '=']",1
"['AND', 'sh', '=']",1
"['IF', 'ze', '=']",6
"['THEN', 'ke', '=']",1
"[':', 'sh', '=']",1
"[':', 'kl', '=']",1
"[':', 'se', '=']",1
"[':', 'sz', '=']",1
"['IF', 'ze', '=>']",9
"['AND', 'ze', '<']",6
"['THEN', 'pp', '=']",4
"['OR', 'ze', '=>']",1
"['IF', 'ze', '<>']",1
"['IF', 'kk', '<>']",1
"['>', 'ze', 'IF']",1
"['IF', 'pp', '=']",2
"[':', 'pe', '=']",1
"[':', 'hh', '=']",8
"['AND', 'pe', '=']",1
"['THEN', 'lu', '=']",1
"['FOR', 'q', '=']",29
"[':', 'ii', '=']",1
"['=', 'lu', '+']",1
"[',', 'q', ':']",9
"['NEXT', 'q', 'POKE']",1
"['THEN', 'ha', '=']",1
"['15520', 'x', '=']",1
"['=', 'wa$', ':']",1
"[':', 'h', '=']",48
"['IF', 'hh', '=']",1
"['THEN', 'q', '=']",2
"['NEXT', 'q', ':']",3
"['IF', 'dr', '=']",1
"['AND', 'gg', '=']",1
"['IF', 'vn$', '=']",33
"['THEN', 'wa$', '=']",1
"[':', 'q$', '""{down}{down}{down}""']",1
"['=', 'de', '+']",3
"['IF', 'dz', '<>']",1
"['<>', 'zi', 'OR']",2
"['OR', 'k1', '=']",1
"['OR', 'ze', '>']",1
"['PRINT', 'q$', ';']",20
"['IF', 'x', 'RND']",1
"['IF', 'zl', '=']",1
"['THEN', 'su', '=']",1
"['=', 'su', '+']",1
"['1', 'da', '=']",1
"['=', 'zi', ':']",2
"[':', 'de', '=']",5
"['=', 'ze', ':']",4
"[':', 'x', '=']",18
"[':', 'dd', '=']",3
"['=', 'dd', 'IF']",1
"['=', 'zi', 'THEN']",1
"['IF', 'da', '=']",3
"['AND', 'db', '=']",1
"[':', 'tt', 'tr']",1
"[':', 'es', '=']",1
"['AND', 'es', '=']",1
"['AND', 'tr', '=']",2
"['1', 'ze', '=>']",1
"['=', 'tr', ':']",2
"['=', 'tt', '+']",1
"['AND', 'ss', '=']",2
"['THEN', 'sq', '=']",1
"['=', 'sq', '+']",1
"['IF', 'sq', '=']",2
"['AND', 'ad', '=']",1
"['=', 'ze', 'THEN']",2
"[':', 'sq', 'sq']",1
"['sq', 'sq', '+']",1
"['THEN', 'hh', '=']",1
"['THEN', 'ee', '=']",1
"['=', 'ee', '+']",1
"[':', 'j', ':']",1
"['FOR', 'qq', '=']",4
"['15', 'j', ':']",1
"[',', 'qq', ':']",4
"['POKE', 'i', 'NEXT']",1
"['NEXT', 'i', ',']",1
"[',', 'qq', ',']",1
"[';', 'z$', '(']",1
"['(', 'zi', ',']",1
"[',', 'i', ')']",9
"[':', 'vn$', '=']",4
"['IF', 'li', '=']",4
"['""du musst noch""', 'ti%', '""{left} ""']",1
"['=', 'zt$', ':']",1
"[':', 'ze', '=']",1
"[':', 'ze', '2']",1
"['=', 'zn', '+']",2
